Time,Patch,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,1,25,0,0,0,0,0,0,0,0,0
2,1,25.0198652771251,0,0,0,0,0,0,0,0,0
3,1,25.0378413984745,0,0,0,0,0,0,0,0,0
4,1,25.0541080479476,0,0,0,0,0,0,0,0,0
5,1,25.0688278170124,0,0,0,0,0,0,0,0,0
6,1,25.0821478307653,0,0,0,0,0,0,0,0,0
7,1,25.0942012192909,0,0,0,0,0,0,0,0,0
8,1,25.1050083153282,0,0,0,0,0,0,0,0,0
9,1,25.1146387728165,0,0,0,0,0,0,0,0,0
10,1,25.1231882201268,0,0,0,0,0,0,0,0,0
11,1,25.1307548510379,0,0,0,0,0,0,0,0,0
12,1,25.1374305886835,0,0,0,0,0,0,0,0,0
13,1,25.143146230217,0,0,0,0,0,0,0,0,0
14,1,25.147880227243,0,0,0,0,0,0,0,0,0
15,1,25.151558635611,0,0,0,0,0,0,0,0,0
16,1,25.1540970774374,0,0,0,0,0,0,0,0,0
17,1,25.1572014306701,0,0,0,0,0,0,0,0,0
18,1,25.1604834780246,0,0,0,0,0,0,0,0,0
19,1,25.1637786740911,0,0,0,0,0,0,0,0,0
20,1,25.1670280915317,0,0,0,0,0,0,0,0,0
21,1,25.1702096149644,0,0,0,0,0,0,0,0,0
22,1,25.1733136081147,0,0,0,0,0,0,0,0,0
23,1,25.1763272311128,0,0,0,0,0,0,0,0,0
24,1,25.1792401536183,0,0,0,0,0,0,0,0,0
25,1,25.1820458524321,0,0,0,0,0,0,0,0,0
26,1,25.1847442089805,0,0,0,0,0,0,0,0,0
27,1,25.1873428935832,0,0,0,0,0,0,0,0,0
28,1,25.1898308732444,0,0,0,0,0,0,0,0,0
29,1,25.1921824534952,0,0,0,0,0,0,0,0,0
30,1,25.1943546450769,0,0,0,0,0,0,0,0,0
31,1,25.1962886181631,0,0,0,0,0,0,0,0,0
32,1,25.19807040692,0,0,0,0,0,0,0,0,0
33,1,25.1997300058684,0,0,0,0,0,0,0,0,0
34,1,25.2012796103953,0,0,0,0,0,0,0,0,0
35,1,25.2027280736058,0,0,0,0,0,0,0,0,0
36,1,25.2040838855604,0,0,0,0,0,0,0,0,0
37,1,25.2053553215296,0,0,0,0,0,0,0,0,0
38,1,25.2065495369868,0,0,0,0,0,0,0,0,0
39,1,25.2076727001299,0,0,0,0,0,0,0,0,0
40,1,25.2087303272026,0,0,0,0,0,0,0,0,0
41,1,25.2097281828218,0,0,0,0,0,0,0,0,0
42,1,25.2106735002173,0,0,0,0,0,0,0,0,0
43,1,25.2115727642547,0,0,0,0,0,0,0,0,0
44,1,25.2124300701342,0,0,0,0,0,0,0,0,0
45,1,25.2132454725415,0,0,0,0,0,0,0,0,0
46,1,25.214013566094,0,0,0,0,0,0,0,0,0
47,1,25.2147363164019,0,0,0,0,0,0,0,0,0
48,1,25.2154166167439,0,0,0,0,0,0,0,0,0
49,1,25.2160569068539,0,0,0,0,0,0,0,0,0
50,1,25.2166593000289,0,0,0,0,0,0,0,0,0
51,1,25.2172257937724,0,0,0,0,0,0,0,0,0
52,1,25.2177583594045,0,0,0,0,0,0,0,0,0
53,1,25.2182588891046,0,0,0,0,0,0,0,0,0
54,1,25.2187291491361,0,0,0,0,0,0,0,0,0
55,1,25.2191707628239,0,0,0,0,0,0,0,0,0
